question_id,file_name,question,ground_truth
1,Thông_tin_chung_về_công_ty_FPT_Smart_Cloud_2,Ai là chủ tịch hội đồng quản trị của FPT Smart Cloud,Ông Nguyễn Thế Phương
2,Thông_tin_chung_về_công_ty_FPT_Smart_Cloud_2,Tổng giám đốc công ty FPT Smart Cloud là ai,Ông Lê Hồng Việt
3,Thông_tin_chung_về_công_ty_FPT_Smart_Cloud_2,Ông Lý Việt Thắng làm gì ở FPT Smart Cloud,trưởng phòng marketing của FPT Smart Cloud
4,Thông_tin_chung_về_công_ty_FPT_Smart_Cloud_2,Cho tôi biết ai là phó giám đốc khối Công nghệ Cloud của FPT Smart Cloud,Phó Giám đốc Khối: Lê Thanh Hải và  Phó Giám đốc Khối: Vũ Quang Chiến
5,Thông_tin_chung_về_công_ty_FPT_Smart_Cloud_2,Khối vận hành của FPT Smart Cloud có những phòng ban nào,Các phòng ban: - Phòng Nhân Sự: Trưởng phòng - Phan Thị Thu Hà - Phòng Tài Chính Kế Toán: Kế toán trưởng - Đỗ Kim Hoa - Phòng Hành Chính: Trưởng phòng - Phan Thị Hải Sơn - Phòng Quản Lý Chất Lượng: Trưởng phòng - Phan Thế Minh - Phòng Phần Mềm CFS: Trưởng phòng - Lê Đức An - Phòng Data Fusion: Trưởng phòng - Vũ Quang Chiến - Phòng Phần Mềm Ứng Dụng: Trưởng phòng - Nguyễn Duy Định - Phòng Chăm Sóc Khách Hàng: Trưởng phòng - Phạm Thị Nhung
6,Thông_tin_chung_về_công_ty_FPT_Smart_Cloud_2,Đội ngũ lãnh đạo của FPT Smart Cloud có những ai,• Chủ tịch hội đồng quản trị: Ông Nguyễn Thế Phương • Tổng giám đốc: Ông Lê Hồng Việt • Phó tổng giám đốc: Ông Nguyễn Ngọc Minh
7,Thông_tin_chung_về_công_ty_FPT_Smart_Cloud_2,Tầm nhìn chiến lược của FPT Smart Cloud,"Tầm nhìn của FPT Smart Cloud là biến mọi doanh nghiệp trở thành doanh nghiệp số, bằng đột phá sáng tạo trong công nghệ và sản phẩm. Tiên phong nghiên cứu và phát triển các giải pháp chuyển đổi số toàn diện về Trí tuệ nhân tạo (AI) và Điện toán đám mây (Cloud), FPT Smart Cloud đồng hành cùng hàng ngàn doanh nghiệp chuyển đổi số thành công, tạo ra bước đột phá và tối ưu trong hiệu suất vận hành, mang trải nghiệm khách hàng lên tầm cao mới.
FPT Smart Cloud sẽ trở thành nền tảng chuyển đổi số, tích hợp hệ sinh thái các công nghệ mới nhất trên thế giới phù hợp với những đặc thù của môi trường kinh doanh tại Việt Nam, để các doanh nghiệp Việt ứng dụng nhanh nhất, dễ dàng nhất."
10,Giới_thiệu_FPT.AI,FPT AI là gì,"FPT AI là nền tảng trí tuệ nhân tạo toàn diện, cung cấp các giải pháp nhằm đơn giản hóa
các tác vụ kinh doanh và hướng tới việc thay thế con người trong việc ra quyết định, từ đó
tạo ra lợi thế cạnh tranh cho doanh nghiệp."
11,Giới_thiệu_FPT.AI,Kể tên các ứng dụng của FPT AI,"FPT AI Chat: Nền tảng Hội thoại thông minh cho phép tạo lập và quản lý chatbot tự động giao tiếp hai chiều với khách hàng. • FPT AI Engage: Nền tảng Trợ lý Ảo tổng đài, thực hiện cuộc gọi tự động hai chiều với giọng nói tự nhiên, tích hợp trên kênh tổng đài. • FPT AI Read: Nền tảng nhận diện và trích xuất thông tin từ ảnh chụp (OCR) với khả năng xử lý đa dạng mọi loại văn bản. • FPT AI Enhance: Nền tảng cho phép tổng đài tự động toàn diện quy trình quản lý chất lượng và dễ dàng theo dõi các chỉ số chuyên sâu theo thời gian thực. • FPT AI eKYC: Khả năng định danh khách hàng hoàn chỉnh với nhiều cấp độ bảo mật, giúp tối đa hóa sự thuận tiện cho cả doanh nghiệp cung cấp dịch vụ và khách hàng sử dụng."
12,Giới_thiệu_FPT.AI,FPT AI Chat khác gì FPT AI Engage,"FPT AI Chat: Nền tảng Hội thoại thông minh cho phép tạo lập và quản lý
chatbot tự động giao tiếp hai chiều với khách hàng.
• FPT AI Engage: Nền tảng Trợ lý Ảo tổng đài, thực hiện cuộc gọi tự động hai
chiều với giọng nói tự nhiên, tích hợp trên kênh tổng đài"
